번호,입력문장1,입력문장2
1,"다음 달 런던으로 가는 가장 저렴한 왕복 항공권을 찾아줘. 10월 15일 출발해서 10월 22일 도착하는 일정이야.","이 에이전트는 항공편 검색 및 예약 기능을 제공합니다. 특정 날짜와 목적지에 대한 최저가 항공권을 찾고 사용자 요청 시 예약 절차를 안내할 수 있습니다. 사용자의 출발 및 도착 희망 날짜, 목적지, 출발지를 기반으로 항공편을 검색합니다. 항공권, 런던, 왕복, 최저가, 다음 달, 10월 15일, 10월 22일, 예약, 검색"
2,"이번 주 토요일 저녁 7시에 강남역 근처 분위기 좋은 이탈리안 레스토랑 2명 예약해줄 수 있어?","이 에이전트는 레스토랑 검색 및 예약 기능을 제공합니다. 사용자 요청에 따라 특정 지역, 시간, 인원, 음식 종류, 분위기 등의 조건을 만족하는 레스토랑을 찾아 예약을 진행할 수 있습니다. 레스토랑, 예약, 강남역, 이탈리안, 2명, 토요일, 저녁 7시, 분위기, 검색"
3,"내일 서울 날씨 어때? 비 올까?","이 에이전트는 실시간 및 예보 날씨 정보를 제공합니다. 특정 도시의 현재 날씨, 일별/주간 예보, 강수 확률 등을 조회하여 사용자에게 알려줄 수 있습니다. 날씨, 서울, 내일, 예보, 비, 강수 확률, 정보"
4,"최신 노이즈 캔슬링 헤드폰 중에 20만원대 추천해줄 만한 거 있어? 주로 음악 감상용으로 쓸 거야.","이 에이전트는 다양한 전자제품에 대한 정보를 가지고 있으며, 사용자의 예산, 용도, 기능적 요구사항(예: 노이즈 캔슬링)을 기반으로 적합한 제품을 검색하고 추천할 수 있습니다. 제품 리뷰 및 평점을 참고하여 최적의 선택을 돕습니다. 헤드폰, 노이즈 캔슬링, 추천, 20만원대, 최신, 음악 감상, 제품, 검색"
5,"다음 주 수요일 오후 3시에 회의 일정 잡아줘. 제목은 '주간 보고'로 하고, 팀원들에게 초대장 보내줘.","이 에이전트는 캘린더 관리 및 일정 생성 기능을 지원합니다. 특정 날짜와 시간에 이벤트를 생성하고, 제목을 설정하며, 지정된 참가자들에게 초대장을 발송할 수 있습니다. 회의, 일정, 다음 주 수요일, 오후 3시, 주간 보고, 초대장, 캘린더, 추가"
6,"현재 삼성전자 주가 얼마야?","이 에이전트는 실시간 주식 시장 정보를 조회할 수 있습니다. 특정 기업의 현재 주가, 등락률 등 기본적인 시세 정보를 제공합니다. 주가, 삼성전자, 시세, 현재, 주식, 정보"
7,"거실 불 좀 꺼주고, 에어컨 온도 25도로 맞춰줘.","이 에이전트는 연결된 스마트 홈 기기들을 제어할 수 있습니다. 조명 켜고 끄기, 에어컨 온도 조절, 난방 설정 등 사용자의 음성 명령에 따라 집 안 환경을 조작합니다. 거실, 불, 끄기, 에어컨, 온도, 25도, 스마트 홈, 제어"
8,"내 주문 번호 123456789 배송 상태 확인해줄래?","이 에이전트는 온라인 쇼핑몰의 주문 및 배송 시스템과 연동되어 있습니다. 사용자의 주문 번호를 통해 해당 주문의 현재 배송 상태(예: 배송 준비 중, 배송 중, 배송 완료)를 조회하여 제공할 수 있습니다. 주문, 배송, 상태, 123456789, 확인, 조회"
9,"영어로 '안녕하세요, 오늘 날씨가 좋네요.'를 번역해줘.","이 에이전트는 다국어 번역 기능을 제공합니다. 사용자가 요청하는 문장이나 구절을 특정 언어로 정확하게 번역할 수 있습니다. 번역, 영어, 한국어, 안녕하세요, 오늘 날씨가 좋네요, 언어"
10,"달 착륙은 언제 처음 성공했어?","이 에이전트는 광범위한 일반 지식을 보유하고 있으며, 역사적 사건, 과학적 사실, 인물 정보 등 다양한 질문에 대해 정확한 정보를 제공할 수 있습니다. 달 착륙, 언제, 처음, 성공, 역사, 정보, 지식, 질문"
